CircuitName,Library,Synclk,Simclk,Area,Delay,Power,MED
add8u_6SM,asap7,0,62.592,3.055968,62.592,5.389e-08,0.000e+00
add8u_6SM,variability14,0,0.068,13.811712,0.068,3.259e-04,0.000e+00
add8u_6SM,fdsoi28,0,0.019,68.894000,0.019,2.590e-04,0.000e+00
add8u_6SM,nangate45,0,0.217,46.550000,0.217,1.809e-04,0.000e+00
add8u_6SM,variability14,1.065,1.065,6.438920,0.164,5.502e-06,0.000e+00
add8u_6SM,fdsoi28,1.43,1.43,23.408000,0.062,3.902e-07,0.000e+00
add8u_6SM,nangate45,2.0,2.0,23.408000,0.452,6.507e-06,0.000e+00
add8u_6SM,asap7,955,955,1.691280,176.939,3.010e-09,0.000e+00
add8u_6SM,saed14,1.065,1.065,6.304800,0.214,9.256e-07,0.000e+00
add8u_6SM,saed32,1.43,1.43,32.022144,0.147,1.212e-06,0.000e+00
