gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U10,A1,Y,NAND2X1,negative_unate,888006,847978,580205,379609
U10,A2,Y,NAND2X1,negative_unate,1.2846e+06,1.05065e+06,1.3441e+06,422314
U11,A1,Y,AND2X1,positive_unate,1.88084e+06,2.0349e+06,997014,589426
U11,A2,Y,AND2X1,positive_unate,2.19847e+06,2.45768e+06,1.05632e+06,754352
U12,A1,Y,AND2X1,positive_unate,1.88028e+06,2.03511e+06,996097,589340
U12,A2,Y,AND2X1,positive_unate,2.20711e+06,2.45843e+06,1.05182e+06,752365
U13,A,Y,INVX1,negative_unate,-1.18521e+06,704991,340160,10617.7
U14,A1,Y,AND2X1,positive_unate,1.83846e+06,2.04977e+06,927785,583078
U14,A2,Y,AND2X1,positive_unate,2.19888e+06,2.45805e+06,1.05611e+06,753319
U15,A,Y,INVX1,negative_unate,-1.18743e+06,707648,340137,10577.9
U16,A1,Y,AND2X1,positive_unate,1.83846e+06,2.04977e+06,927785,583078
U16,A2,Y,AND2X1,positive_unate,2.20711e+06,2.45843e+06,1.05182e+06,752365
U17,A,Y,INVX1,negative_unate,-1.18521e+06,704991,340160,10617.7
U18,A1,Y,AND2X1,positive_unate,1.80678e+06,2.04309e+06,876041,585931
U18,A2,Y,AND2X1,positive_unate,2.18378e+06,2.44416e+06,1.06404e+06,791665
U19,A,Y,INVX1,negative_unate,-1.27725e+06,712562,339257,10504.4
U20,A1,Y,AND2X1,positive_unate,1.81901e+06,2.04414e+06,896010,585484
U20,A2,Y,AND2X1,positive_unate,2.19809e+06,2.45764e+06,1.05652e+06,754446
U21,A,Y,INVX1,negative_unate,-1.19008e+06,707903,340100,10572.3
U22,A1,Y,AND2X1,positive_unate,1.8192e+06,2.0436e+06,896333,585714
U22,A2,Y,AND2X1,positive_unate,2.18219e+06,2.43975e+06,1.06488e+06,803822
U23,A,Y,INVX1,negative_unate,-1.30572e+06,713079,338977,10496.7
U24,A1,Y,AND2X1,positive_unate,1.81878e+06,2.04413e+06,895646,585489
U24,A2,Y,AND2X1,positive_unate,2.19907e+06,2.45808e+06,1.056e+06,753248
U25,A,Y,INVX1,negative_unate,-1.18728e+06,707583,340140,10578.9
U26,A,Y,INVX1,negative_unate,-1.15349e+06,708448,363870,12398.2
U27,A1,Y,AND2X1,positive_unate,1.87979e+06,2.03512e+06,995308,589336
U27,A2,Y,AND2X1,positive_unate,2.20711e+06,2.45843e+06,1.05182e+06,752365
U28,A,Y,INVX1,negative_unate,-1.17299e+06,705216,348139,11229.6
U29,A1,Y,XOR2X1,positive_unate,2.30448e+06,2.98008e+06,778090,1.05948e+06
U29,A1,Y,XOR2X1,negative_unate,4.90716e+06,4.56284e+06,1.3651e+06,926168
U29,A2,Y,XOR2X1,positive_unate,2.28153e+06,2.89811e+06,1.27656e+06,831080
U29,A2,Y,XOR2X1,negative_unate,5.58012e+06,4.41323e+06,1.0158e+06,1.01028e+06
U30,A,Y,INVX1,negative_unate,582641,53902.1,365057,20783.6
U31,A,Y,INVX1,negative_unate,589069,54330,372776,21219.9
U32,A1,Y,NAND2X1,negative_unate,918712,801650,578685,352068
U32,A2,Y,NAND2X1,negative_unate,1.28579e+06,1.0506e+06,1.34816e+06,422274
U33,A1,Y,NOR2X1,negative_unate,1.62749e+06,863350,1.53944e+06,375691
U33,A2,Y,NOR2X1,negative_unate,1.62778e+06,921434,1.53925e+06,373940
U34,A,Y,INVX1,negative_unate,-284428,1.0073e+06,364506,7483.59
U35,A1,Y,NAND2X1,negative_unate,880268,847265,573382,379540
U35,A2,Y,NAND2X1,negative_unate,1.27897e+06,1.0497e+06,1.33841e+06,422547
U36,A1,Y,NAND2X1,negative_unate,924290,802892,585478,352582
U36,A2,Y,NAND2X1,negative_unate,1.29075e+06,1.05395e+06,1.35186e+06,424013
U37,A1,Y,XOR2X1,positive_unate,2.32268e+06,2.99619e+06,788631,1.05128e+06
U37,A1,Y,XOR2X1,negative_unate,5.24469e+06,4.32973e+06,1.34847e+06,950781
U37,A2,Y,XOR2X1,positive_unate,2.29223e+06,2.9053e+06,1.29066e+06,833619
U37,A2,Y,XOR2X1,negative_unate,5.5888e+06,4.42016e+06,1.02631e+06,1.0122e+06
U38,A1,Y,XOR2X1,positive_unate,2.31324e+06,3.00468e+06,776850,1.03659e+06
U38,A1,Y,XOR2X1,negative_unate,5.75447e+06,4.319e+06,1.2792e+06,949095
U38,A2,Y,XOR2X1,positive_unate,2.23567e+06,2.89953e+06,1.20764e+06,829982
U38,A2,Y,XOR2X1,negative_unate,5.57462e+06,4.50633e+06,1.01661e+06,820981
U39,A,Y,INVX1,negative_unate,595536,54761.7,380542,21659.9
U40,A1,Y,NOR2X1,negative_unate,1.15839e+06,528255,968584,365947
U40,A2,Y,NOR2X1,negative_unate,1.15765e+06,538817,966878,364329
U41,A1,Y,NAND2X1,negative_unate,917975,802441,578721,352538
U41,A2,Y,NAND2X1,negative_unate,1.28204e+06,1.0272e+06,1.34096e+06,398348
U42,A1,Y,NAND2X1,negative_unate,886079,848344,580309,379827
U42,A2,Y,NAND2X1,negative_unate,1.28492e+06,1.05184e+06,1.3452e+06,423287
U43,A1,Y,NAND2X1,negative_unate,880187,847123,573386,379455
U43,A2,Y,NAND2X1,negative_unate,1.27967e+06,1.04777e+06,1.34083e+06,420965
U44,A1,Y,NOR2X1,negative_unate,1.16272e+06,769081,972299,329807
U44,A2,Y,NOR2X1,negative_unate,1.16272e+06,769081,972299,329807
U45,A1,Y,NOR2X1,negative_unate,1.62752e+06,863357,1.53948e+06,375695
U45,A2,Y,NOR2X1,negative_unate,1.63231e+06,1.01548e+06,1.53632e+06,371092
U46,A,Y,INVX1,negative_unate,-303048,1.00706e+06,348815,6097.64
U47,A1,Y,NAND2X1,negative_unate,919419,784616,578650,341876
U47,A2,Y,NAND2X1,negative_unate,1.28204e+06,1.0272e+06,1.34096e+06,398348
U48,A1,Y,NOR2X1,negative_unate,1.18641e+06,-205931,1.03379e+06,478400
U48,A2,Y,NOR2X1,negative_unate,1.15839e+06,528255,968584,365947
U49,A1,Y,NAND2X1,negative_unate,893458,830498,579934,369217
U49,A2,Y,NAND2X1,negative_unate,1.28204e+06,1.02719e+06,1.34095e+06,398346
U5,A,Y,INVX1,negative_unate,-998769,693512,341977,10787.6
U50,A1,Y,NAND2X1,negative_unate,913204,798878,571735,350642
U50,A2,Y,NAND2X1,negative_unate,1.27967e+06,1.04774e+06,1.34083e+06,420947
U51,A1,Y,NAND2X1,negative_unate,918833,800610,578671,351450
U51,A2,Y,NAND2X1,negative_unate,1.28564e+06,1.05e+06,1.34767e+06,421778
U52,A1,Y,NAND2X1,negative_unate,919419,784616,578650,341876
U52,A2,Y,NAND2X1,negative_unate,1.28204e+06,1.0272e+06,1.34096e+06,398348
U53,A1,Y,NAND2X1,negative_unate,882182,846919,573286,379333
U53,A2,Y,NAND2X1,negative_unate,1.27969e+06,1.04783e+06,1.34089e+06,421020
U54,A1,Y,NAND2X1,negative_unate,919419,784616,578650,341876
U54,A2,Y,NAND2X1,negative_unate,1.28204e+06,1.0272e+06,1.34096e+06,398348
U55,A1,Y,NAND2X1,negative_unate,882182,846919,573286,379333
U55,A2,Y,NAND2X1,negative_unate,1.2797e+06,1.04784e+06,1.34092e+06,421021
U6,A1,Y,NAND2X1,negative_unate,888021,847980,580212,379610
U6,A2,Y,NAND2X1,negative_unate,1.28593e+06,1.0512e+06,1.34864e+06,422766
U7,A1,Y,OR2X1,positive_unate,1.85417e+06,2.32113e+06,1.03329e+06,672759
U7,A2,Y,OR2X1,positive_unate,1.85417e+06,2.32113e+06,1.03329e+06,672759
U8,A1,Y,AND2X1,positive_unate,1.87979e+06,2.03512e+06,995308,589336
U8,A2,Y,AND2X1,positive_unate,2.20711e+06,2.45843e+06,1.05182e+06,752365
U9,A,Y,INVX1,negative_unate,-1.16085e+06,705440,356088,11836.8
