,asap7,variability14,fdsoi28,nangate45
mul8u_1JJQ,32.577552,162.054148,921.15801,567.111997
mul8u_ZB3,28.950048,151.928835,799.596009,611.267997
mul8u_4X5,31.364496,147.554307,847.476009,533.595998
mul8u_DG8,28.903392,140.967941,752.780008,507.261997
mul8u_GTR,25.9524,124.403717,686.812007,446.347997
mul8u_L93,19.152288,75.497474,390.488004,278.501999
mul8u_18UH,8.001504,33.619969,175.028002,96.557999
mul8u_17MJ,0.839808,2.998272,11.172,9.842
add8u_1HG,5.038848,22.069248,150.023999,75.81
add16u_1A5,13.4136,47.087617,296.324001,165.718
add8u_6PT,4.793904,21.38112,100.548,59.584
add8u_6P8,3.814128,15.72864,94.43,50.54
add8u_6SM,3.055968,13.811712,68.894,46.55
add8u_6S4,5.295456,18.382848,71.554,53.732
add8u_6R6,1.877904,10.715136,57.988,26.068
add8u_0TP,1.34136,5.554176,43.358,19.95
add8u_00M,0.64152,2.555904,14.364,11.438
add8u_02Y,0.373248,0.73728,,
add16u_0GN,9.191232,35.438593,195.51,117.572
add16u_126,8.946288,32.833537,164.388,117.306
add16u_0P8,8.911296,27.770881,184.337999,88.312
add16u_0HE,6.193584,22.364161,118.902,82.46
add16u_07T,5.038848,20.299776,105.07,70.224
add16u_0KU,3.125952,10.616832,66.234,38.836
add16u_0SL,2.052864,6.782976,,
