NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance
-1,variability14,0.0,0.34,155.615310,0.343,1.258e-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,variability14,0.0,0.34,30.425091,0.151,2.377e-04,1.000e+00,1.223e+01,2.684e+08,6.249e-02,1.000e+00,3.707e+09,3706999999,7.288e+16
1,variability14,0.0,0.34,27.377664,0.100,2.442e-04,1.000e+00,1.674e+01,1.070e+09,2.491e-01,3.000e+00,4.295e+09,4294999997,1.299e+18
2,variability14,0.0,0.34,23.937024,0.140,1.985e-04,1.000e+00,1.261e+01,4.021e+08,9.362e-02,3.000e+00,3.724e+09,3723999997,5.524e+16
3,variability14,0.0,0.34,25.657345,0.112,1.979e-04,1.000e+00,1.259e+01,4.022e+08,9.364e-02,1.000e+00,3.723e+09,3722999999,5.514e+16
4,variability14,0.0,0.34,20.987904,0.090,1.586e-04,1.000e+00,1.223e+01,4.693e+08,1.093e-01,1.000e+00,3.358e+09,3357999999,9.653e+16
5,variability14,0.0,0.34,24.428544,0.130,1.662e-04,1.000e+00,1.298e+01,5.027e+08,1.170e-01,3.300e+01,3.719e+09,3718999967,1.844e+16
6,variability14,0.0,0.34,18.038784,0.087,1.372e-04,1.000e+00,1.276e+01,4.033e+08,9.390e-02,5.000e+00,3.724e+09,3723999995,5.486e+16
7,variability14,0.0,0.34,33.423361,0.118,2.741e-04,1.000e+00,1.227e+01,2.684e+08,6.249e-02,1.000e+00,3.723e+09,3722999999,7.274e+16
8,variability14,0.0,0.34,12.533760,0.089,1.117e-04,1.000e+00,2.723e+00,7.046e+08,1.641e-01,4.000e+00,3.764e+09,3763999996,1.022e+18
9,variability14,0.0,0.34,12.288000,0.075,8.351e-05,1.000e+00,1.290e+01,4.687e+08,1.091e-01,8.000e+00,3.719e+09,3718999992,3.309e+16
10,variability14,0.0,0.34,26.787841,0.148,2.129e-04,1.000e+00,1.275e+01,4.019e+08,9.357e-02,1.000e+00,3.720e+09,3719999999,5.528e+16
11,variability14,0.0,0.34,27.131905,0.104,2.204e-04,1.000e+00,1.275e+01,4.018e+08,9.355e-02,4.000e+00,3.719e+09,3718999996,5.530e+16
12,variability14,0.0,0.34,24.035328,0.111,1.788e-04,1.000e+00,1.210e+01,4.022e+08,9.364e-02,0.000e+00,3.455e+09,3455000000,1.092e+17
13,variability14,0.0,0.34,23.691265,0.113,1.921e-04,1.000e+00,2.612e+00,8.394e+08,1.954e-01,4.000e+00,3.904e+09,3903999996,1.219e+18
14,variability14,0.0,0.34,16.564224,0.090,1.499e-04,1.000e+00,1.761e+00,7.076e+08,1.648e-01,0.000e+00,4.267e+09,4267000000,1.102e+18
15,variability14,0.0,0.34,8.945664,0.064,7.260e-05,1.000e+00,1.275e+01,4.019e+08,9.357e-02,1.000e+00,3.719e+09,3718999999,5.528e+16
16,variability14,0.0,0.34,13.860864,0.103,9.961e-05,1.000e+00,9.680e+00,7.713e+08,1.796e-01,5.000e+01,2.645e+09,2644999950,2.344e+17
17,variability14,0.0,0.34,15.826944,0.059,1.380e-04,1.000e+00,2.165e+00,7.079e+08,1.648e-01,3.200e+01,4.065e+09,4064999968,1.083e+18
18,variability14,0.0,0.34,13.467648,0.068,9.390e-05,1.000e+00,1.251e+01,4.787e+08,1.115e-01,1.700e+01,3.614e+09,3613999983,3.268e+16
19,variability14,0.0,0.34,28.114945,0.126,2.296e-04,1.000e+00,1.268e+01,4.013e+08,9.343e-02,1.000e+00,3.757e+09,3756999999,5.450e+16
